Source	Table	Order	O/R	Data element	Description	Type	Value	Deconvolution
Sample	SP:analyzed_sample_id	1	R	analyzed_sample_id	Unique identifier for the sample assigned by data provider.	text		
Sample	SP:analyzed_sample_id	2	R	specimen_id	Unique identifier for the specimen assigned by data provider. The corresponding specimen idmust appear in the specimen data submission file.	text		
Sample	SP:analyzed_sample_id	3	R	analyzed_sample_type	Controlled vocabulary description of sample type.	integer	1 = Normal blood;2 = Leukemic blood;3 = Normal control adjacent to primary;4 = Normal control from non-tumour site;5 = Control from cell line derived from normal tissue;6 = Normal mouse host;7 = Primary tumour;8 = Mouse xenograft derived from tumour;9 = Cell line derived from tumour;10 = Cell line derived from xenograft;11 = Other (specify)	
Sample	SP:analyzed_sample_id	4	O 	analyzed_sample_type_other	"Free text description of site of sample if ""other"" was specified in sample_type field."	text		
Sample	SP:analyzed_sample_id	5	R 	analyzed_sample_interval	"Interval from specimen acquisition to sample use in an analytic procedure (e.g. DNA extraction), in days"	integer	Positive integer indicating number of days	
Sample	SP:analyzed_sample_id	6	O 	analyzed_sample_notes	Freetext notes about sample allowed	text	Any additional non-identifying information can be included here.	
Sample	DR:donor_id	1	R	donor_id	Unique identifier for the donor; assigned by data provider. 	text		
Sample	DR:donor_id	2	R	donor_sex	"Donor biological sex. ""Other"" has been removed from the controlled vocabulary due to identifiability concerns."	integer	1 = male;2 = female	
Sample	DR:donor_id	3	R	donor_region_of_residence	"Country, and optionally state or province code, but not city."	text	"ISO3166-1-alpha-2 or ISO3166-2 codes, eg: ""CA"" or ""CA-ON"""	
Sample	DR:donor_id	4	R	donor_vital_status	Donor's last known vital status	integer	1 = alive;2 = deceased	
Sample	DR:donor_id	5	R	disease_status_last_followup	Donor's last known disease status.	integer	1 = complete remission;2 = partial remission;3 = progression;4 = relapse;5 = stable	
Sample	DR:donor_id	6	R	donor_relapse_type	"Type of relapse or progression (for liquid tumours), if applicable"	integer	1 = local recurrence;2 = distant recurrence/metastasis;3 = progression (liquid tumours)	
Sample	DR:donor_id	7	R	donor_age_at_diagnosis	Age at primary diagnosis.	integer	"Use ""90"" for patients >=90."	
Sample	DR:donor_id	8	R	donor_age_at_enrollment	Age at which first specimen was collected.	integer	"Use ""90"" for patients >=90."	
Sample	DR:donor_id	9	R	donor_age_at_last_followup	Age at last followup	integer	"Use ""90"" for patients >=90."	
Sample	DR:donor_id	10	R	donor_relapse_interval	"If donor was clinically disease free following primary therapy and relapse or progression (for liquid tumours) occurred, length of disease free interval, in days."	integer	Positive integers indicating number of days.	
Sample	DR:donor_id	11	R	donor_diagnosis_icd10	ICD-10 diagnostic code	text	ICD-10 diagnostic code (http://www.who.int/classifications/icd/en/)	
Sample	DR:donor_id	12	R	donor_tumour_staging_system_at_diagnosis	"Clinical staging system used at time of diagnosis, if determined. Note that this is supplementary to specimen's pathological staging."	text	"eg: TNM, FIGO"	
Sample	DR:donor_id	13	R	donor_tumour_stage_at_diagnosis	Stage at diagnosis using indicated staging system. Note that this is supplementary to specimen's pathological staging. 	text	eg: TxNxMx	
Sample	DR:donor_id	14	O 	donor_tumour_stage_at_diagnosis_supplemental	"Optional additional staging provided as a comma-delimited list of ""staging system:stage"""	text	"eg: STAGING_SYSTEM1:STAGE1,… "	
Sample	DR:donor_id	15	R	donor_survival_time	"How long has donor survived since primary diagnosis, in days. If source data was collected in months, use a multiplier value of '30.44' to convert value to days when preparing submission."	integer	Positive integer indicating number of days. 	
Sample	DR:donor_id	16	R	donor_interval_of_last_followup	Interval from primary diagnosis to last followup date. ICGC requests that patients be followed up every 6 months while alive.	integer	Positive integer indicating number of days. 	
Sample	DR:donor_id	17	O	donor_notes	Free text notes concerning donor	text	Any additional non-identifying information can be included here.	
Sample	specimen:specimen_id	1	R	donor_id	"Unique identifier for the donor; assigned by data provider. It must be coded, and correspond to a donor ID listed in the donor data file."	text		
