Mart	Table	O/R	COLUMN NAME	INPUT SOURCE	BOOL?	Data type	Index
Sample	sample__specimen__main		donor_id_key			int(1) unsigned	Y
Sample	sample__specimen__main		specimen_id_key			int(1) unsigned	Y
Sample	sample__sample__main		sample_id_key			int(1) unsigned	Y
Sample	sample__sample__main	R	analyzed_sample_id	sp		varchar(32)	Y
Sample	sample__sample__main	R	specimen_id	sp		varchar(32)	Y
Sample	sample__sample__main	R	analyzed_sample_type	sp		int(1)	
Sample	sample__sample__main	OÊ	analyzed_sample_type_other	sp		varchar(32)	
Sample	sample__sample__main	RÊ	analyzed_sample_interval	sp		int(1)	
Sample	sample__sample__main	OÊ	analyzed_sample_notes	sp		varchar(32)	
Sample	sample__donor__main		donor_id_key			int(1) unsigned	Y
Sample	sample__donor__main	R	donor_id	dr		varchar(32)	Y
Sample	sample__donor__main	R	donor_sex	dr		int(1)	
Sample	sample__donor__main	R	donor_region_of_residence	dr		varchar(32)	
Sample	sample__donor__main	R	donor_vital_status	dr		int(1)	
Sample	sample__donor__main	R	disease_status_last_followup	dr		int(1)	
Sample	sample__donor__main	R	donor_relapse_type	dr		int(1)	
Sample	sample__donor__main	R	donor_age_at_diagnosis	dr		int(1)	
Sample	sample__donor__main	R	donor_age_at_enrollment	dr		int(1)	
Sample	sample__donor__main	R	donor_age_at_last_followup	dr		int(1)	
Sample	sample__donor__main	R	donor_relapse_interval	dr		int(1)	
Sample	sample__donor__main	R	donor_diagnosis_icd10	dr		varchar(32)	
Sample	sample__donor__main	R	donor_tumour_staging_system_at_diagnosis	dr		varchar(32)	
Sample	sample__donor__main	R	donor_tumour_stage_at_diagnosis	dr		varchar(32)	
Sample	sample__donor__main	OÊ	donor_tumour_stage_at_diagnosis_supplemental	dr		varchar(32)	
Sample	sample__donor__main	R	donor_survival_time	dr		int(1)	
Sample	sample__donor__main	R	donor_interval_of_last_followup	dr		int(1)	
Sample	sample__donor__main	O	donor_notes	dr		varchar(32)	
Sample	sample__specimen__main		donor_id_key			int(1) unsigned	Y
Sample	sample__specimen__main		specimen_id_key			int(1) unsigned	Y
Sample	sample__specimen__main	R	donor_id	specimen		varchar(32)	Y
Sample	sample__specimen__main	R	specimen_id	specimen		varchar(32)	Y
Sample	sample__specimen__main	R	specimen_type	specimen		int(1)	
Sample	sample__specimen__main	R	specimen_type_other	specimen		varchar(32)	
Sample	sample__specimen__main	R	specimen_interval	specimen		int(1)	
Sample	sample__specimen__main	R	specimen_donor_treatment_type	specimen		int(1)	
Sample	sample__specimen__main	R	specimen_donor_treatment_type_other	specimen		varchar(32)	
Sample	sample__specimen__main	R	specimen_processing	specimen		int(1)	
Sample	sample__specimen__main	R	specimen_processing_other	specimen		varchar(32)	
Sample	sample__specimen__main	R	specimen_storage	specimen		int(1)	
Sample	sample__specimen__main	R	specimen_storage_other	specimen		varchar(32)	
Sample	sample__specimen__main	R	tumour_confirmed	specimen		int(1)	
Sample	sample__specimen__main	R	specimen_biobank	specimen		varchar(32)	
Sample	sample__specimen__main	R	specimen_biobank_id	specimen		varchar(32)	
Sample	sample__specimen__main	R	specimen_available	specimen		int(1)	
Sample	sample__specimen__main	R	tumour_histological_type	specimen		varchar(32)	
Sample	sample__specimen__main	R	tumour_grading_system	specimen		varchar(32)	
Sample	sample__specimen__main	R	tumour_grade	specimen		varchar(32)	
Sample	sample__specimen__main	R	tumour_grade_supplemental	specimen		varchar(32)	
Sample	sample__specimen__main	R	tumour_stage_system	specimen		varchar(32)	
Sample	sample__specimen__main	R	tumour_stage	specimen		varchar(32)	
Sample	sample__specimen__main	O	tumour_stage_supplemental	specimen		varchar(32)	
Sample	sample__specimen__main	R	digital_image_of_stained_section	specimen		text	
Sample	sample__specimen__main	OÊ	specimen_notes	specimen		varchar(32)	
