FirstTable	FirstKeys	SecondTable	SecondKeys
DX	donor_id	DR	donor_id
SP	diagnosis_id	DX	diagnosis_id
SSM_P	"mutation_id,tumour_sample_id,analysis_id"	SSM_S	"mutation_id,tumour_sample_id,analysis_id"
SSM_S	"tumour_sample_id,analysis_id"	SSM_M	"tumour_sample_id,analysis_id"
SSM_M	tumour_sample_id	SP	sample_id
SGV_P	"control_sample_id,analysis_id"	SGV_M	"control_sample_id,analysis_id"
CNSM_P	"mutation_id,analysis_id,tumour_sample_id"	CNSM_S	"mutation_id,analysis_id,tumour_sample_id"
CNSM_S	"analysis_id,tumour_sample_id"	CNSM_M	"analysis_id,tumour_sample_id"
CNSM_M	tumour_sample_id	SP	sample_id
CNGV_P	"analysis_id,control_sample_id"	CNGV_M	"analysis_id,control_sample_id"
STSM_P	"sv_id,placement,tumour_sample_id,analysis_id"	STSM_S	"sv_id,placement,tumour_sample_id,analysis_id"
STSM_S	"tumour_sample_id,analysis_id"	STSM_M	"tumour_sample_id,analysis_id"
STSM_M	tumour_sample_id	SP	sample_id
STGV_P	"control_sample_id,analysis_id"	STGV_M	"control_sample_id,analysis_id"
EXP_G	"sample_id,analysis_id"	EXP_M	"sample_id,analysis_id"
EXP_M	sample_id	SP	sample_id
METH_P	"methylated_fragment_id,tumour_sample_id,analysis_id"	METH_S	"methylated_fragment_id,tumour_sample_id,analysis_id"
METH_S	"tumour_sample_id,analysis_id"	METH_M	"tumour_sample_id,analysis_id"
METH_M	tumour_sample_id	SP	sample_id
MIRNA_P	mirna_seq	MIRNA_S	mirna_seq
MIRNA_P	"sample_id,analysis_id"	MIRNA_M	"sample_id,analysis_id"
MIRNA_M	sample_id	SP	sample_id
mirna__mirbase	xref_mirbase_id	MIRNA_S	xref_mirbase_id
JCN_P	"analysis_id,sample_id"	JCN_M	"sample_id,analysis_id"
JCN_M	sample_id	SP	sample_id
DIFF_EXP_A	study_id	DIFF_EXP_S	study_id
gene__transcript	stable_id_1066	SSM_S	transcript_affected
gene__transcript	stable_id_1066	CNSM_S	transcript_affected
gene__transcript	stable_id_1066	STSM_S	transcript_affected_by_bkpt_from
gene__gene	stable_id_1023	EXP_G	gene_stable_id
gene__gene	stable_id_1023	JCN_P	gene_stable_id
gene__gene	stable_id_1023	METH_S	gene_affected
