Mart	Table	O/R	COLUMN NAME	INPUT SOURCE	BOOL?	Data type	Index
SNP	snp__snp__main:snp_id_key		snp_id_key			int(1) unsigned	Y
SNP	snp__snp__main:snp_id_key	O	xref_ensembl_var_id	ssm_p/sgv_p		varchar(64)	Y
SNP	snp__feature__main:feature_id_key:snp_id_key:snp__snp__main		snp_id_key			int(1) unsigned	Y
SNP	snp__feature__main:feature_id_key:snp_id_key:snp__snp__main		feature_id_key			int(1) unsigned	Y
SNP	snp__feature__main:feature_id_key:snp_id_key:snp__snp__main	R	chromosome	ssm_p/sgv_p		varchar(32)	Y
SNP	snp__feature__main:feature_id_key:snp_id_key:snp__snp__main	R	chromosome_start	ssm_p/sgv_p		int(1)	Y
SNP	snp__feature__main:feature_id_key:snp_id_key:snp__snp__main	R	chromosome_end	ssm_p/sgv_p		int(1)	Y
SNP	snp__feature__main:feature_id_key:snp_id_key:snp__snp__main	R	chromosome_strand	ssm_p/sgv_p		int(1)	Y
SNP	snp__feature__main:feature_id_key:snp_id_key:snp__snp__main	R	refsnp_allele	ssm_p/sgv_p		varchar(256)	Y
SNP	snp__feature__main:feature_id_key:snp_id_key:snp__snp__main	R	refsnp_strand	ssm_p/sgv_p		int(1)	Y
SNP	snp__feature__main:feature_id_key:snp_id_key:snp__snp__main	R	reference_genome_allele	ssm_p/sgv_p		varchar(256)	Y
SNP	snp__feature__main:feature_id_key:snp_id_key:snp__snp__main	O	expressed_allele	ssm_p/sgv_p		varchar(256)	
SNP	snp__simple_somatic_mutation__dm:feature_id_key		feature_id_key			int(1) unsigned	Y
SNP	snp__simple_somatic_mutation__dm:feature_id_key	R	mutation_id	ssm_p/ssm_s		varchar(64)	Y
SNP	snp__simple_somatic_mutation__dm:feature_id_key	R	mutation_type	ssm_p	Y	varchar(64)	Y
SNP	snp__simple_somatic_mutation__dm:feature_id_key	R	control_genotype	ssm_p		varchar(256)	
SNP	snp__simple_somatic_mutation__dm:feature_id_key	R	tumour_genotype	ssm_p		varchar(256)	
SNP	snp__simple_somatic_mutation__dm:feature_id_key	R	mutation	ssm_p		varchar(512)	
SNP	snp__simple_somatic_mutation__dm:feature_id_key	O	expressed_allele	ssm_p	Y	varchar(256)	
SNP	snp__simple_somatic_mutation__dm:feature_id_key	O	quality_score	ssm_p	Y (r)	int(1)	Y
SNP	snp__simple_somatic_mutation__dm:feature_id_key	O	probability	ssm_p	Y (r)	"float(3,2)"	Y
SNP	snp__simple_somatic_mutation__dm:feature_id_key	O	read_count	ssm_p	Y (r)	"float(5,2)"	Y
SNP	snp__simple_somatic_mutation__dm:feature_id_key	O	is_annotated	ssm_p	Y	varchar(32)	Y
SNP	snp__simple_somatic_mutation__dm:feature_id_key	R	validation_status	ssm_p	Y	varchar(32)	Y
SNP	snp__simple_somatic_mutation__dm:feature_id_key	O	validation_platform	ssm_p	Y	varchar(256)	Y
SNP	snp__simple_somatic_mutation__dm:feature_id_key	R	consequence_type	ssm_s	Y	varchar(256)	Y
SNP	snp__simple_somatic_mutation__dm:feature_id_key	O	aa_mutation	ssm_s		varchar(256)	
SNP	snp__simple_somatic_mutation__dm:feature_id_key	O	cds_mutation	ssm_s		varchar(256)	
SNP	snp__simple_somatic_mutation__dm:feature_id_key	O	protein_domain_affected	ssm_s		varchar(64)	
SNP	snp__simple_somatic_mutation__dm:feature_id_key	O	gene_affected	ssm_s		varchar(256)	Y
SNP	snp__simple_somatic_mutation__dm:feature_id_key	O	transcript_affected	ssm_s		varchar(256)	Y
SNP	snp__simple_somatic_mutation__dm:feature_id_key	R	platform	ssm_m	Y	varchar(256)	
SNP	snp__simple_somatic_mutation__dm:feature_id_key	O	experimental_protocol	ssm_m		varchar(256)	
SNP	snp__simple_somatic_mutation__dm:feature_id_key	R	base_calling_algorithm	ssm_m		varchar(256)	
SNP	snp__simple_somatic_mutation__dm:feature_id_key	R	alignment_algorithm	ssm_m		varchar(256)	
SNP	snp__simple_somatic_mutation__dm:feature_id_key	R	variation_calling_algorithm	ssm_m		varchar(256)	
SNP	snp__simple_somatic_mutation__dm:feature_id_key	O	other_analysis_algorithm	ssm_m		varchar(256)	
SNP	snp__simple_somatic_mutation__dm:feature_id_key	O	seq_coverage	ssm_m		"float(5,2)"	
SNP	snp__simple_somatic_mutation__dm:feature_id_key	R	raw_data_repository	ssm_m		varchar(64)	
SNP	snp__simple_somatic_mutation__dm:feature_id_key	R	raw_data_accession	ssm_m		varchar(64)	
SNP	snp__simple_somatic_mutation__dm:feature_id_key	R	donor_id	ssm_m		varchar(32)	Y
SNP	snp__simple_somatic_mutation__dm:feature_id_key	R	diagnosis_id	ssm_m		varchar(32)	Y
SNP	snp__simple_somatic_mutation__dm:feature_id_key	R	tumour_sample_id	ssm_p/ssm_s/ssm_m		varchar(32)	Y
SNP	snp__simple_somatic_mutation__dm:feature_id_key	R	matched_sample_id	ssm_m		varchar(32)	Y
SNP	snp__simple_somatic_mutation__dm:feature_id_key	R	analysis_id	ssm_p/ssm_s/ssm_m		varchar(32)	Y
SNP	snp__simple_germline_variation__dm:feature_id_key		feature_id_key			int(1) unsigned	Y
SNP	snp__simple_germline_variation__dm:feature_id_key	R	variation_id	sgv_p/sgv_s		varchar(64)	
SNP	snp__simple_germline_variation__dm:feature_id_key	R	variation_type	sgv_p	Y	varchar(64)	
SNP	snp__simple_germline_variation__dm:feature_id_key	R	control_genotype	sgv_p		varchar(256)	
SNP	snp__simple_germline_variation__dm:feature_id_key	R	tumour_genotype	sgv_p		varchar(256)	
SNP	snp__simple_germline_variation__dm:feature_id_key	O	expressed_allele	sgv_p	Y	varchar(256)	
SNP	snp__simple_germline_variation__dm:feature_id_key	O	quality_score	sgv_p	Y (r)	int(1)	
SNP	snp__simple_germline_variation__dm:feature_id_key	O	probability	sgv_p	Y (r)	"float(3,2)"	
SNP	snp__simple_germline_variation__dm:feature_id_key	O	read_count	sgv_p	Y (r)	"float(5,2)"	
SNP	snp__simple_germline_variation__dm:feature_id_key	O	is_annotated	sgv_p	Y	varchar(32)	
SNP	snp__simple_germline_variation__dm:feature_id_key	R	validation_status	sgv_p	Y	varchar(32)	
SNP	snp__simple_germline_variation__dm:feature_id_key	O	validation_platform	sgv_p	Y	varchar(256)	
SNP	snp__simple_germline_variation__dm:feature_id_key	R	consequence_type	sgv_s	Y	varchar(256)	
