VEGA gene ID	Pathway stable ID
OTTHUMG00000129537	REACT_13
OTTHUMG00000129537	REACT_13796
OTTHUMG00000129537	REACT_15518
OTTHUMG00000129537	REACT_19419
OTTHUMG00000129537	REACT_19397
OTTHUMG00000129537	REACT_19118
OTTHUMG00000129511	REACT_6894
OTTHUMG00000129511	REACT_6890
OTTHUMG00000129511	REACT_6788
OTTHUMG00000129511	REACT_9047
OTTHUMG00000129511	REACT_8005
OTTHUMG00000129511	REACT_9020
OTTHUMG00000129511	REACT_8006
OTTHUMG00000129511	REACT_6802
OTTHUMG00000129511	REACT_6900
OTTHUMG00000129511	REACT_6966
OTTHUMG00000129511	REACT_7980
OTTHUMG00000129511	REACT_22442
OTTHUMG00000129511	REACT_22232
OTTHUMG00000129511	REACT_24918
OTTHUMG00000129511	REACT_25024
OTTHUMG00000129511	REACT_25354
OTTHUMG00000129511	REACT_25222
OTTHUMG00000129513	REACT_1736
OTTHUMG00000129513	REACT_723
OTTHUMG00000129513	REACT_474
OTTHUMG00000129513	REACT_6959
OTTHUMG00000129513	REACT_6784
OTTHUMG00000129513	REACT_6737
OTTHUMG00000129513	REACT_13433
OTTHUMG00000129512	REACT_1520
OTTHUMG00000129512	REACT_723
OTTHUMG00000129512	REACT_474
OTTHUMG00000152166	REACT_16936
OTTHUMG00000152166	REACT_17029
OTTHUMG00000152166	REACT_16956
OTTHUMG00000152166	REACT_17050
OTTHUMG00000152166	REACT_17004
OTTHUMG00000152166	REACT_16907
OTTHUMG00000152166	REACT_16952
OTTHUMG00000152166	REACT_17015
OTTHUMG00000152316	REACT_682
OTTHUMG00000152316	REACT_910
OTTHUMG00000152316	REACT_152
OTTHUMG00000152316	REACT_383
OTTHUMG00000152316	REACT_6256
OTTHUMG00000152316	REACT_6361
OTTHUMG00000152316	REACT_6185
OTTHUMG00000152316	REACT_6288
OTTHUMG00000152316	REACT_6190
OTTHUMG00000152316	REACT_6167
OTTHUMG00000152316	REACT_6145
OTTHUMG00000152316	REACT_6296
OTTHUMG00000152316	REACT_6179
OTTHUMG00000152316	REACT_6916
OTTHUMG00000152316	REACT_20605
OTTHUMG00000152316	REACT_25218
OTTHUMG00000152316	REACT_24994
OTTHUMG00000152316	REACT_21300
OTTHUMG00000152316	REACT_21257
OTTHUMG00000129349	REACT_216
OTTHUMG00000129349	REACT_18410
OTTHUMG00000151919	REACT_1949
OTTHUMG00000151919	REACT_2243
OTTHUMG00000151919	REACT_1725
OTTHUMG00000151919	REACT_1156
OTTHUMG00000151919	REACT_734
OTTHUMG00000151919	REACT_1221
OTTHUMG00000151919	REACT_2148
OTTHUMG00000151919	REACT_1574
OTTHUMG00000151919	REACT_1783
OTTHUMG00000151919	REACT_4
OTTHUMG00000151919	REACT_2014
OTTHUMG00000151919	REACT_899
OTTHUMG00000151919	REACT_152
OTTHUMG00000151919	REACT_1181
OTTHUMG00000151919	REACT_207
OTTHUMG00000151919	REACT_829
OTTHUMG00000151919	REACT_383
OTTHUMG00000151919	REACT_309
OTTHUMG00000151919	REACT_1625
OTTHUMG00000151919	REACT_85
OTTHUMG00000151919	REACT_1614
OTTHUMG00000151919	REACT_2160
OTTHUMG00000151919	REACT_1208
OTTHUMG00000151919	REACT_2254
OTTHUMG00000151919	REACT_1538
OTTHUMG00000151919	REACT_9029
OTTHUMG00000151919	REACT_2159
OTTHUMG00000151919	REACT_1979
OTTHUMG00000151919	REACT_1258
OTTHUMG00000151919	REACT_1797
OTTHUMG00000151919	REACT_1079
OTTHUMG00000151919	REACT_931
OTTHUMG00000151919	REACT_2085
OTTHUMG00000151919	REACT_2099
OTTHUMG00000151919	REACT_1986
OTTHUMG00000151919	REACT_1014
OTTHUMG00000151919	REACT_216
OTTHUMG00000151919	REACT_71
OTTHUMG00000151919	REACT_938
OTTHUMG00000151919	REACT_578
OTTHUMG00000151919	REACT_79
OTTHUMG00000151919	REACT_1477
OTTHUMG00000151919	REACT_1404
OTTHUMG00000151919	REACT_1762
OTTHUMG00000151919	REACT_6185
OTTHUMG00000151919	REACT_6288
OTTHUMG00000151919	REACT_6894
OTTHUMG00000151919	REACT_6890
OTTHUMG00000151919	REACT_6788
OTTHUMG00000151919	REACT_6809
OTTHUMG00000151919	REACT_11061
OTTHUMG00000151919	REACT_9047
OTTHUMG00000151919	REACT_6783
OTTHUMG00000151919	REACT_8005
OTTHUMG00000151919	REACT_6782
OTTHUMG00000151919	REACT_9020
OTTHUMG00000151919	REACT_8006
OTTHUMG00000151919	REACT_6802
OTTHUMG00000151919	REACT_6167
OTTHUMG00000151919	REACT_6145
OTTHUMG00000151919	REACT_6900
OTTHUMG00000151919	REACT_6152
OTTHUMG00000151919	REACT_6966
OTTHUMG00000151919	REACT_6976
OTTHUMG00000151919	REACT_25359
OTTHUMG00000151919	REACT_13648
OTTHUMG00000151919	REACT_6820
OTTHUMG00000151919	REACT_6785
OTTHUMG00000151919	REACT_6821
OTTHUMG00000151919	REACT_6828
OTTHUMG00000151919	REACT_6871
OTTHUMG00000151919	REACT_6761
OTTHUMG00000151919	REACT_6850
OTTHUMG00000151919	REACT_6837
OTTHUMG00000151919	REACT_6781
OTTHUMG00000151919	REACT_6954
OTTHUMG00000151919	REACT_9417
OTTHUMG00000151919	REACT_8017
OTTHUMG00000151919	REACT_9031
OTTHUMG00000151919	REACT_9453
OTTHUMG00000151919	REACT_7980
OTTHUMG00000151919	REACT_12484
OTTHUMG00000151919	REACT_13698
OTTHUMG00000151919	REACT_9003
OTTHUMG00000151919	REACT_9491
OTTHUMG00000151919	REACT_13537
OTTHUMG00000151919	REACT_13776
OTTHUMG00000151919	REACT_11063
OTTHUMG00000151919	REACT_11045
OTTHUMG00000151919	REACT_12526
OTTHUMG00000151919	REACT_12555
OTTHUMG00000151919	REACT_13720
OTTHUMG00000151919	REACT_13643
OTTHUMG00000151919	REACT_13415
OTTHUMG00000151919	REACT_13696
OTTHUMG00000151919	REACT_13819
OTTHUMG00000151919	REACT_13464
OTTHUMG00000151919	REACT_15550
OTTHUMG00000151919	REACT_20549
OTTHUMG00000151919	REACT_15380
OTTHUMG00000151919	REACT_17015
OTTHUMG00000151919	REACT_24941
