Analysis id 1020	Biotype 1020	Stable id 1023
2	processed_transcript	OTTHUMG00000058804
2	processed_pseudogene	OTTHUMG00000058805
2	processed_transcript	OTTHUMG00000059072
2	processed_transcript	OTTHUMG00000058961
2	protein_coding	OTTHUMG00000058960
2	processed_transcript	OTTHUMG00000058962
2	processed_transcript	OTTHUMG00000058964
2	protein_coding	OTTHUMG00000058965
2	protein_coding	OTTHUMG00000059070
2	protein_coding	OTTHUMG00000165004
2	processed_pseudogene	OTTHUMG00000059068
2	processed_pseudogene	OTTHUMG00000059069
2	protein_coding	OTTHUMG00000059074
2	protein_coding	OTTHUMG00000160985
2	unprocessed_pseudogene	OTTHUMG00000059075
2	protein_coding	OTTHUMG00000059067
2	unprocessed_pseudogene	OTTHUMG00000059142
2	protein_coding	OTTHUMG00000059066
2	processed_pseudogene	OTTHUMG00000059073
2	protein_coding	OTTHUMG00000059071
2	processed_transcript	OTTHUMG00000059148
2	processed_transcript	OTTHUMG00000059149
2	unprocessed_pseudogene	OTTHUMG00000059141
2	processed_pseudogene	OTTHUMG00000059143
2	processed_pseudogene	OTTHUMG00000059144
2	processed_pseudogene	OTTHUMG00000059145
2	unprocessed_pseudogene	OTTHUMG00000130863
2	processed_transcript	OTTHUMG00000059147
2	unprocessed_pseudogene	OTTHUMG00000059146
2	protein_coding	OTTHUMG00000059140
2	protein_coding	OTTHUMG00000059308
2	protein_coding	OTTHUMG00000059306
2	protein_coding	OTTHUMG00000059309
2	processed_pseudogene	OTTHUMG00000059307
2	processed_pseudogene	OTTHUMG00000059344
2	protein_coding	OTTHUMG00000059346
2	processed_transcript	OTTHUMG00000059347
2	protein_coding	OTTHUMG00000059345
2	protein_coding	OTTHUMG00000058987
2	processed_transcript	OTTHUMG00000058986
2	protein_coding	OTTHUMG00000058989
2	processed_transcript	OTTHUMG00000058991
2	processed_transcript	OTTHUMG00000058990
2	protein_coding	OTTHUMG00000058988
2	protein_coding	OTTHUMG00000058993
2	processed_pseudogene	OTTHUMG00000058997
2	protein_coding	OTTHUMG00000058996
2	processed_pseudogene	OTTHUMG00000059176
2	protein_coding	OTTHUMG00000059178
2	processed_pseudogene	OTTHUMG00000059169
2	processed_transcript	OTTHUMG00000059173
2	unprocessed_pseudogene	OTTHUMG00000059170
2	transcribed_unprocessed_pseudogene	OTTHUMG00000059171
2	unprocessed_pseudogene	OTTHUMG00000059177
2	protein_coding	OTTHUMG00000059175
2	unprocessed_pseudogene	OTTHUMG00000059174
2	processed_pseudogene	OTTHUMG00000059172
2	transcribed_unprocessed_pseudogene	OTTHUMG00000059260
2	protein_coding	OTTHUMG00000059262
2	processed_transcript	OTTHUMG00000059261
2	protein_coding	OTTHUMG00000059263
2	protein_coding	OTTHUMG00000059276
2	processed_transcript	OTTHUMG00000059279
2	protein_coding	OTTHUMG00000059278
2	protein_coding	OTTHUMG00000059275
2	processed_pseudogene	OTTHUMG00000059280
2	protein_coding	OTTHUMG00000059281
2	protein_coding	OTTHUMG00000059277
2	processed_pseudogene	OTTHUMG00000059294
2	processed_pseudogene	OTTHUMG00000059295
2	processed_pseudogene	OTTHUMG00000059289
2	protein_coding	OTTHUMG00000059293
2	protein_coding	OTTHUMG00000059292
2	protein_coding	OTTHUMG00000059290
2	processed_transcript	OTTHUMG00000059291
2	protein_coding	OTTHUMG00000059314
2	processed_transcript	OTTHUMG00000059315
2	protein_coding	OTTHUMG00000059313
2	protein_coding	OTTHUMG00000059353
2	protein_coding	OTTHUMG00000059355
2	processed_pseudogene	OTTHUMG00000059357
2	processed_pseudogene	OTTHUMG00000059356
2	protein_coding	OTTHUMG00000059354
2	protein_coding	OTTHUMG00000059398
2	protein_coding	OTTHUMG00000059399
2	protein_coding	OTTHUMG00000059390
2	protein_coding	OTTHUMG00000059397
2	protein_coding	OTTHUMG00000059396
2	protein_coding	OTTHUMG00000059389
2	protein_coding	OTTHUMG00000059392
2	protein_coding	OTTHUMG00000059391
2	processed_pseudogene	OTTHUMG00000059393
2	processed_pseudogene	OTTHUMG00000059395
2	protein_coding	OTTHUMG00000059394
2	protein_coding	OTTHUMG00000059094
2	protein_coding	OTTHUMG00000059095
2	processed_pseudogene	OTTHUMG00000059093
2	processed_transcript	OTTHUMG00000059246
2	unprocessed_pseudogene	OTTHUMG00000059247
2	protein_coding	OTTHUMG00000059248
2	unprocessed_pseudogene	OTTHUMG00000059249
2	unprocessed_pseudogene	OTTHUMG00000130551
2	unprocessed_pseudogene	OTTHUMG00000130869
2	processed_pseudogene	OTTHUMG00000059250
2	protein_coding	OTTHUMG00000059251
2	processed_transcript	OTTHUMG00000059253
2	processed_transcript	OTTHUMG00000059366
2	unprocessed_pseudogene	OTTHUMG00000059367
2	unprocessed_pseudogene	OTTHUMG00000059407
2	processed_transcript	OTTHUMG00000059368
2	unprocessed_pseudogene	OTTHUMG00000059531
2	processed_pseudogene	OTTHUMG00000059369
2	protein_coding	OTTHUMG00000059054
2	processed_pseudogene	OTTHUMG00000059049
2	unprocessed_pseudogene	OTTHUMG00000059051
2	processed_transcript	OTTHUMG00000059153
2	processed_pseudogene	OTTHUMG00000059047
2	processed_pseudogene	OTTHUMG00000059055
2	processed_transcript	OTTHUMG00000059053
2	protein_coding	OTTHUMG00000059152
2	protein_coding	OTTHUMG00000059050
2	protein_coding	OTTHUMG00000059048
2	protein_coding	OTTHUMG00000059052
2	unprocessed_pseudogene	OTTHUMG00000059405
2	protein_coding	OTTHUMG00000059406
2	processed_pseudogene	OTTHUMG00000059404
2	protein_coding	OTTHUMG00000059410
2	processed_transcript	OTTHUMG00000059413
2	protein_coding	OTTHUMG00000059411
2	protein_coding	OTTHUMG00000059436
2	protein_coding	OTTHUMG00000059423
2	processed_pseudogene	OTTHUMG00000059425
2	protein_coding	OTTHUMG00000059428
2	unprocessed_pseudogene	OTTHUMG00000059435
2	protein_coding	OTTHUMG00000059429
2	protein_coding	OTTHUMG00000059424
2	processed_pseudogene	OTTHUMG00000059426
2	protein_coding	OTTHUMG00000059427
2	processed_pseudogene	OTTHUMG00000059430
2	protein_coding	OTTHUMG00000059431
2	protein_coding	OTTHUMG00000059475
2	processed_transcript	OTTHUMG00000059437
2	processed_transcript	OTTHUMG00000130623
2	protein_coding	OTTHUMG00000059586
2	protein_coding	OTTHUMG00000059587
2	protein_coding	OTTHUMG00000059585
2	processed_transcript	OTTHUMG00000059601
2	processed_transcript	OTTHUMG00000059602
2	processed_transcript	OTTHUMG00000059605
2	processed_pseudogene	OTTHUMG00000059603
2	processed_transcript	OTTHUMG00000059607
2	processed_transcript	OTTHUMG00000059606
2	processed_pseudogene	OTTHUMG00000059604
2	protein_coding	OTTHUMG00000059466
2	processed_transcript	OTTHUMG00000059473
2	unprocessed_pseudogene	OTTHUMG00000130722
2	processed_transcript	OTTHUMG00000059472
2	processed_pseudogene	OTTHUMG00000059467
2	processed_pseudogene	OTTHUMG00000059468
2	processed_pseudogene	OTTHUMG00000059470
2	processed_transcript	OTTHUMG00000059465
2	protein_coding	OTTHUMG00000059471
2	protein_coding	OTTHUMG00000059464
2	protein_coding	OTTHUMG00000059469
2	processed_pseudogene	OTTHUMG00000059510
2	protein_coding	OTTHUMG00000059511
2	processed_pseudogene	OTTHUMG00000059509
2	protein_coding	OTTHUMG00000059515
2	protein_coding	OTTHUMG00000059508
2	processed_pseudogene	OTTHUMG00000059507
2	processed_pseudogene	OTTHUMG00000059512
2	protein_coding	OTTHUMG00000059513
2	unprocessed_pseudogene	OTTHUMG00000059535
2	processed_pseudogene	OTTHUMG00000059514
2	unprocessed_pseudogene	OTTHUMG00000130729
2	protein_coding	OTTHUMG00000132846
2	unprocessed_pseudogene	OTTHUMG00000130725
2	processed_transcript	OTTHUMG00000130734
2	unprocessed_pseudogene	OTTHUMG00000130731
2	protein_coding	OTTHUMG00000130730
2	processed_pseudogene	OTTHUMG00000130735
2	unprocessed_pseudogene	OTTHUMG00000130728
2	unprocessed_pseudogene	OTTHUMG00000130721
2	unprocessed_pseudogene	OTTHUMG00000130724
2	unprocessed_pseudogene	OTTHUMG00000130723
2	unprocessed_pseudogene	OTTHUMG00000130726
2	unprocessed_pseudogene	OTTHUMG00000130732
2	unprocessed_pseudogene	OTTHUMG00000130727
2	processed_pseudogene	OTTHUMG00000130733
2	protein_coding	OTTHUMG00000059557
2	processed_pseudogene	OTTHUMG00000059558
2	processed_pseudogene	OTTHUMG00000059559
2	unprocessed_pseudogene	OTTHUMG00000059560
2	unprocessed_pseudogene	OTTHUMG00000059565
2	processed_pseudogene	OTTHUMG00000059561
2	processed_transcript	OTTHUMG00000059551
2	processed_pseudogene	OTTHUMG00000059562
2	unprocessed_pseudogene	OTTHUMG00000059563
2	unprocessed_pseudogene	OTTHUMG00000059564
2	unprocessed_pseudogene	OTTHUMG00000059552
2	unprocessed_pseudogene	OTTHUMG00000059553
2	pseudogene	OTTHUMG00000059554
2	processed_pseudogene	OTTHUMG00000059555
2	processed_pseudogene	OTTHUMG00000059556
2	unprocessed_pseudogene	OTTHUMG00000132836
2	processed_transcript	OTTHUMG00000132835
2	protein_coding	OTTHUMG00000132271
2	processed_transcript	OTTHUMG00000130763
2	unprocessed_pseudogene	OTTHUMG00000130761
