FirstTable	FirstKeys	SecondTable	SecondKeys
SSM_M	"tumour_sample_id,analysis_id"	SSM_P	"mutation_id,tumour_sample_id,analysis_id"
SSM_M	"tumour_sample_id,analysis_id"	SSM_S	"mutation_id,tumour_sample_id,analysis_id"
SGV_M	"control_sample_id,analysis_id"	SGV_P	"variation_id,control_sample_id,analysis_id"
SGV_M	"control_sample_id,analysis_id"	SGV_S	"variation_id,control_sample_id,analysis_id"
SSM_P	"mutation_id,tumour_sample_id,analysis_id"	SSM_S	"mutation_id,tumour_sample_id,analysis_id"
SGV_P	"variation_id,control_sample_id,analysis_id"	SGV_S	"variation_id,control_sample_id,analysis_id"
CNSM_M	"analysis_id,tumour_sample_id"	CNSM_P	"mutation_id,analysis_id,tumour_sample_id"
CNSM_M	"analysis_id,tumour_sample_id"	CNSM_S	"mutation_id,analysis_id,tumour_sample_id"
CNSM_P	"mutation_id,analysis_id,tumour_sample_id"	CNSM_S	"mutation_id,analysis_id,tumour_sample_id"
CNGV_M	"analysis_id,control_sample_id"	CNGV_P	"variation_id,analysis_id,control_sample_id"
CNGV_M	"analysis_id,control_sample_id"	CNGV_S	"variation_id,analysis_id,control_sample_id"
CNGV_P	"variation_id,analysis_id,control_sample_id"	CNGV_S	"variation_id,analysis_id,control_sample_id"
STSM_M	"tumour_sample_id,analysis_id"	STSM_P	"sv_id,placement,tumour_sample_id,analysis_id"
STSM_M	"tumour_sample_id,analysis_id"	STSM_S	"sv_id,placement,tumour_sample_id,analysis_id"
STSM_P	"sv_id,placement,tumour_sample_id,analysis_id"	STSM_S	"sv_id,placement,tumour_sample_id,analysis_id"
STGV_M	"control_sample_id,analysis_id"	STGV_P	"sv_id,placement,control_sample_id,anlaysis_id"
STGV_M	"control_sample_id,analysis_id"	STGV_S	"sv_id,placement,control_sample_id,analysis_id"
STGV_P	"sv_id,placement,control_sample_id,anlaysis_id"	STGV_S	"sv_id,placement,control_sample_id,analysis_id"
EXP_M	"sample_id,analysis_id"	EXP_G	"gene_stable_id:sample_id,analysis_id"
MIRNA_M	"sample_id,analysis_id"	MIRNA_P	"mirna_seq,sample_id,analysis_id"
MIRNA_M	"sample_id,analysis_id"	MIRNA_S	mirna_seq:xref_mirbase_id
JCN_M	"sample_id,analysis_id"	JCN_P	"gene_stable_id,analysis_id,sample_id"
METH_M	"tumour_sample_id,analysis_id"	METH_P	"methylated_fragment_id,tumour_sample_id,analysis_id"
METH_M	"tumour_sample_id,analysis_id"	METH_S	"methylated_fragment_id,tumour_sample_id,analysis_id"
METH_P	"methylated_fragment_id,tumour_sample_id,analysis_id"	METH_S	"methylated_fragment_id,tumour_sample_id,analysis_id"
DIFF_EXP_S	study_id	DIFF_EXP_A	"study_id,gene_stable_id"
DR	donor_id	DX	diagnosis_id:donor_id
SP	sample_id:diagnosis_id	DX	diagnosis_id:donor_id
SMS	sample_id	SP	sample_id:diagnosis_id
