Analysis id 1020	Stable id 1023	Band 1027
2	OTTHUMG00000000961	p36.33
2	OTTHUMG00000000958	p36.33
2	OTTHUMG00000000959	p36.33
2	OTTHUMG00000000960	p36.33
2	OTTHUMG00000001095	p36.33
2	OTTHUMG00000001094	p36.33
2	OTTHUMG00000001096	p36.33
2	OTTHUMG00000001097	p36.33
2	OTTHUMG00000001257	p36.33
2	OTTHUMG00000002478	p36.33
2	OTTHUMG00000002481	p36.33
2	OTTHUMG00000002479	p36.33
2	OTTHUMG00000002525	p36.33
2	OTTHUMG00000002480	p36.33
2	OTTHUMG00000002553	p36.33
2	OTTHUMG00000002552	p36.33
2	OTTHUMG00000156972	p36.33
2	OTTHUMG00000156968	p36.33
2	OTTHUMG00000002861	p36.33
2	OTTHUMG00000057429	p36.33
2	OTTHUMG00000002857	p36.33
2	OTTHUMG00000002860	p36.33
2	OTTHUMG00000002859	p36.33
2	OTTHUMG00000002855	p36.33
2	OTTHUMG00000156971	p36.33
2	OTTHUMG00000002854	p36.33
2	OTTHUMG00000002261	p36.33
2	OTTHUMG00000002329	p36.33
2	OTTHUMG00000002330	p36.33
2	OTTHUMG00000002331	p36.33
2	OTTHUMG00000002332	p36.33
2	OTTHUMG00000002338	p36.33
2	OTTHUMG00000002336	p36.33
2	OTTHUMG00000002333	p36.33
2	OTTHUMG00000002334	p36.33
2	OTTHUMG00000002473	p36.33
2	OTTHUMG00000002335	p36.33
2	OTTHUMG00000002337	p36.33
2	OTTHUMG00000002340	p36.33
2	OTTHUMG00000002581	p36.33
2	OTTHUMG00000057431	p36.33
2	OTTHUMG00000002405	p36.33
2	OTTHUMG00000002407	p36.33
2	OTTHUMG00000002409	p36.33
2	OTTHUMG00000002408	p36.33
2	OTTHUMG00000002406	p36.33
2	OTTHUMG00000002402	p36.33
2	OTTHUMG00000002466	p36.33
2	OTTHUMG00000002403	p36.33
2	OTTHUMG00000002404	p36.33
2	OTTHUMG00000002467	p36.33
2	OTTHUMG00000002471	p36.33
2	OTTHUMG00000141258	p36.33
2	OTTHUMG00000002468	p36.33
2	OTTHUMG00000002469	p36.33
2	OTTHUMG00000002470	p36.33
2	OTTHUMG00000040716	p36.33
2	OTTHUMG00000040717	p36.33
2	OTTHUMG00000040718	p36.33
2	OTTHUMG00000040719	p36.33
2	OTTHUMG00000040720	p36.33
2	OTTHUMG00000040721	p36.33
2	OTTHUMG00000040756	p36.33
2	OTTHUMG00000040757	p36.33
2	OTTHUMG00000040758	p36.33
2	OTTHUMG00000040759	p36.33
2	OTTHUMG00000040779	p36.33
2	OTTHUMG00000040777	p36.33
2	OTTHUMG00000040778	p36.33
2	OTTHUMG00000040780	p36.33
2	OTTHUMG00000000629	p36.33
2	OTTHUMG00000000745	p36.33
2	OTTHUMG00000000827	p36.33
2	OTTHUMG00000000850	p36.33
2	OTTHUMG00000000851	p36.33
2	OTTHUMG00000001414	p36.33
2	OTTHUMG00000001415	p36.33
2	OTTHUMG00000001812	p36.33
2	OTTHUMG00000001813	p36.33
2	OTTHUMG00000001412	p36.33
2	OTTHUMG00000001911	p36.33
2	OTTHUMG00000002234	p36.33
2	OTTHUMG00000002081	p36.33
2	OTTHUMG00000002235	p36.33
2	OTTHUMG00000003361	p36.33
2	OTTHUMG00000003330	p36.33
2	OTTHUMG00000003331	p36.33
2	OTTHUMG00000003171	p36.33
2	OTTHUMG00000003071	p36.33
2	OTTHUMG00000003069	p36.33
2	OTTHUMG00000002973	p36.33
2	OTTHUMG00000001413	p36.33
2	OTTHUMG00000002972	p36.33
2	OTTHUMG00000002917	p36.33
2	OTTHUMG00000002908	p36.33
2	OTTHUMG00000002909	p36.33
2	OTTHUMG00000002916	p36.33
2	OTTHUMG00000002910	p36.33
2	OTTHUMG00000002911	p36.33
2	OTTHUMG00000002912	p36.33
